id,key,value,type
153366847,gnis:County,Ozaukee,regular
153366847,gnis:ST_num,55,regular
153366847,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153366847,gnis:County_num,089,regular
153366847,population,11568;2006,census
153367329,ele,272,regular
153367329,name,Marcy,regular
153367329,is_in,"Waukesha,Wisconsin,Wis.,WI,USA",regular
153367329,place,hamlet,regular
153367329,id,1569023,gnis
153367329,gnis:Class,Populated Place,regular
153367329,gnis:County,Waukesha,regular
153367329,gnis:ST_num,55,regular
153367329,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153367329,gnis:County_num,133,regular
153374936,ele,207,regular
153374936,name,Shorewood,regular
153374936,is_in,"Milwaukee,Wisconsin,Wis.,WI,USA",regular
153374936,place,town,regular
153374936,id,1574071,gnis
153374936,gnis:Class,Populated Place,regular
153374936,population,13254,regular
153374936,gnis:County,Milwaukee,regular
153374936,gnis:ST_num,55,regular
153374936,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153374936,gnis:County_num,079,regular
153374936,population,13254;2006,census
153376292,ele,242,regular
153376292,name,Durham,regular
153376292,is_in,"Waukesha,Wisconsin,Wis.,WI,USA",regular
153376292,place,hamlet,regular
153376292,id,1564198,gnis
153376292,gnis:Class,Populated Place,regular
153376292,gnis:County,Waukesha,regular
153376292,gnis:ST_num,55,regular
153376292,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153376292,gnis:County_num,133,regular
153378013,ele,232,regular
153378013,name,Kilbournville,regular
153378013,is_in,"Racine,Wisconsin,Wis.,WI,USA",regular
153378013,place,hamlet,regular
153378013,id,1567472,gnis
153378013,gnis:Class,Populated Place,regular
153378013,gnis:County,Racine,regular
153378013,gnis:ST_num,55,regular
153378013,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153378013,gnis:County_num,101,regular
153378181,ele,272,regular
153378181,name,Jackson,regular
153378181,is_in,"Washington,Wisconsin,Wis.,WI,USA",regular
153378181,place,village,regular
153378181,id,1567062,gnis
153378181,wikipedia,"en:Jackson, Washington County, Wisconsin",regular
153378181,gnis:Class,Populated Place,regular
153378181,population,6085,regular
153378181,gnis:County,Washington,regular
153378181,gnis:ST_num,55,regular
153378181,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153378181,gnis:County_num,131,regular
153378181,population,6085;2006,census
153380552,ele,269,regular
153380552,name,Okauchee Lake,regular
153380552,is_in,"Waukesha,Wisconsin,Wis.,WI,USA",regular
153380552,place,hamlet,regular
153380552,id,1867663,gnis
153380552,wikipedia,"en:Okauchee Lake, Wisconsin",regular
153380552,gnis:Class,Populated Place,regular
153380552,gnis:County,Waukesha,regular
153380552,gnis:ST_num,55,regular
153380552,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153380552,gnis:County_num,133,regular
153381580,ele,280,regular
153381580,name,Saylesville,regular
153381580,is_in,"Dodge,Wisconsin,Wis.,WI,USA",regular
153381580,place,hamlet,regular
153381580,id,1577814,gnis
153381580,gnis:Class,Populated Place,regular
153381580,gnis:County,Dodge,regular
153381580,gnis:ST_num,55,regular
153381580,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153381580,gnis:County_num,027,regular
153382856,ele,185,regular
153382856,name,North Bay,regular
153382856,is_in,"Racine,Wisconsin,Wis.,WI,USA",regular
153382856,place,village,regular
153382856,id,1570353,gnis
153382856,gnis:Class,Populated Place,regular
153382856,population,252,regular
153382856,gnis:County,Racine,regular
153382856,gnis:ST_num,55,regular
153382856,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153382856,gnis:County_num,101,regular
153382856,population,252;2006,census
153386060,ele,228,regular
153386060,name,Butler,regular
153386060,is_in,"Waukesha,Wisconsin,Wis.,WI,USA",regular
153386060,place,village,regular
153386060,id,1562466,gnis
153386060,wikipedia,"en:Butler, Waukesha County, Wisconsin",regular
153386060,gnis:Class,Populated Place,regular
153386060,population,1815,regular
153386060,gnis:County,Waukesha,regular
153386060,gnis:ST_num,55,regular
153386060,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153386060,gnis:County_num,133,regular
153386060,population,1815;2006,census
153391825,ele,254,regular
153391825,name,Golden Country Estates,regular
153391825,is_in,"Waukesha,Wisconsin,Wis.,WI,USA",regular
153391825,place,hamlet,regular
153391825,id,1850268,gnis
153391825,gnis:Class,Populated Place,regular
153391825,gnis:County,Waukesha,regular
153391825,gnis:ST_num,55,regular
153391825,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153391825,gnis:County_num,133,regular
153399311,ele,204,regular
